time,1day_active_users
2015-11-01 00:00:00-04:00,18180.0
2015-11-02 00:00:00-05:00,21263.0
2015-11-03 00:00:00-05:00,21074.0
2015-11-04 00:00:00-05:00,21146.0
2015-11-05 00:00:00-05:00,20855.0
2015-11-06 00:00:00-05:00,20212.0
2015-11-07 00:00:00-05:00,16598.0
2015-11-08 00:00:00-05:00,17856.0
2015-11-09 00:00:00-05:00,22384.0
2015-11-10 00:00:00-05:00,19672.0
2015-11-11 00:00:00-05:00,18572.0
2015-11-12 00:00:00-05:00,20643.0
2015-11-13 00:00:00-05:00,21021.0
2015-11-14 00:00:00-05:00,16271.0
2015-11-15 00:00:00-05:00,17743.0
2015-11-16 00:00:00-05:00,21127.0
2015-11-17 00:00:00-05:00,21127.0
2015-11-18 00:00:00-05:00,20968.0
2015-11-19 00:00:00-05:00,20615.0
2015-11-20 00:00:00-05:00,19616.0
2015-11-21 00:00:00-05:00,16232.0
2015-11-22 00:00:00-05:00,17678.0
2015-11-23 00:00:00-05:00,21179.0
2015-11-24 00:00:00-05:00,20337.0
2015-11-25 00:00:00-05:00,17540.0
2015-11-26 00:00:00-05:00,13791.0
2015-11-27 00:00:00-05:00,15635.0
2015-11-28 00:00:00-05:00,19903.0
2015-11-29 00:00:00-05:00,18074.0
2015-11-30 00:00:00-05:00,21411.0
2015-12-01 00:00:00-05:00,21215.0
2015-12-02 00:00:00-05:00,20587.0
2015-12-03 00:00:00-05:00,20537.0
2015-12-04 00:00:00-05:00,19799.0
2015-12-05 00:00:00-05:00,16732.0
2015-12-06 00:00:00-05:00,17014.0
2015-12-07 00:00:00-05:00,20414.0
2015-12-08 00:00:00-05:00,19696.0
2015-12-09 00:00:00-05:00,19774.0
2015-12-10 00:00:00-05:00,18649.0
2015-12-11 00:00:00-05:00,16826.0
2015-12-12 00:00:00-05:00,13948.0
2015-12-13 00:00:00-05:00,13424.0
2015-12-14 00:00:00-05:00,17474.0
2015-12-15 00:00:00-05:00,17330.0
2015-12-16 00:00:00-05:00,16250.0
2015-12-17 00:00:00-05:00,16990.0
2015-12-18 00:00:00-05:00,15184.0
2015-12-19 00:00:00-05:00,11915.0
2015-12-20 00:00:00-05:00,11771.0
2015-12-21 00:00:00-05:00,15519.0
2015-12-22 00:00:00-05:00,15190.0
2015-12-23 00:00:00-05:00,14281.0
2015-12-24 00:00:00-05:00,11548.0
2015-12-25 00:00:00-05:00,9921.0
2015-12-26 00:00:00-05:00,10887.0
2015-12-27 00:00:00-05:00,10967.0
2015-12-28 00:00:00-05:00,14039.0
2015-12-29 00:00:00-05:00,12965.0
2015-12-30 00:00:00-05:00,13085.0
2015-12-31 00:00:00-05:00,12494.0
2016-01-01 00:00:00-05:00,12518.0
2016-01-02 00:00:00-05:00,12475.0
2016-01-03 00:00:00-05:00,12451.0
2016-01-04 00:00:00-05:00,18494.0
2016-01-05 00:00:00-05:00,18435.0
2016-01-06 00:00:00-05:00,18845.0
2016-01-07 00:00:00-05:00,19341.0
2016-01-08 00:00:00-05:00,18365.0
2016-01-09 00:00:00-05:00,15085.0
2016-01-10 00:00:00-05:00,18139.0
2016-01-11 00:00:00-05:00,21376.0
2016-01-12 00:00:00-05:00,21128.0
2016-01-13 00:00:00-05:00,21021.0
2016-01-14 00:00:00-05:00,20609.0
2016-01-15 00:00:00-05:00,19689.0
2016-01-16 00:00:00-05:00,15845.0
2016-01-17 00:00:00-05:00,16218.0
2016-01-18 00:00:00-05:00,18441.0
2016-01-19 00:00:00-05:00,20935.0
2016-01-20 00:00:00-05:00,20931.0
2016-01-21 00:00:00-05:00,21080.0
2016-01-22 00:00:00-05:00,18451.0
2016-01-23 00:00:00-05:00,17435.0
2016-01-24 00:00:00-05:00,18841.0
2016-01-25 00:00:00-05:00,20521.0
2016-01-26 00:00:00-05:00,20317.0
2016-01-27 00:00:00-05:00,20013.0
2016-01-28 00:00:00-05:00,20004.0
2016-01-29 00:00:00-05:00,19212.0
2016-01-30 00:00:00-05:00,16268.0
2016-01-31 00:00:00-05:00,17027.0
2016-02-01 00:00:00-05:00,20384.0
2016-02-02 00:00:00-05:00,22292.0
2016-02-03 00:00:00-05:00,21717.0
2016-02-04 00:00:00-05:00,20287.0
2016-02-05 00:00:00-05:00,18843.0
2016-02-06 00:00:00-05:00,16964.0
2016-02-07 00:00:00-05:00,16467.0
2016-02-08 00:00:00-05:00,21513.0
2016-02-09 00:00:00-05:00,20012.0
2016-02-10 00:00:00-05:00,19964.0
2016-02-11 00:00:00-05:00,19812.0
2016-02-12 00:00:00-05:00,18632.0
2016-02-13 00:00:00-05:00,20675.0
2016-02-14 00:00:00-05:00,22093.0
2016-02-15 00:00:00-05:00,20023.0
2016-02-16 00:00:00-05:00,20456.0
2016-02-17 00:00:00-05:00,20258.0
2016-02-18 00:00:00-05:00,20078.0
2016-02-19 00:00:00-05:00,19331.0
2016-02-20 00:00:00-05:00,15327.0
2016-02-21 00:00:00-05:00,16576.0
2016-02-22 00:00:00-05:00,20062.0
2016-02-23 00:00:00-05:00,20229.0
2016-02-24 00:00:00-05:00,20382.0
2016-02-25 00:00:00-05:00,19664.0
2016-02-26 00:00:00-05:00,18661.0
2016-02-27 00:00:00-05:00,18691.0
2016-02-28 00:00:00-05:00,16417.0
2016-02-29 00:00:00-05:00,20036.0
2016-03-01 00:00:00-05:00,20581.0
2016-03-02 00:00:00-05:00,20249.0
2016-03-03 00:00:00-05:00,19652.0
2016-03-04 00:00:00-05:00,18289.0
2016-03-05 00:00:00-05:00,14336.0
2016-03-06 00:00:00-05:00,13996.0
2016-03-07 00:00:00-05:00,16893.0
2016-03-08 00:00:00-05:00,16164.0
2016-03-09 00:00:00-05:00,17770.0
2016-03-10 00:00:00-05:00,16932.0
2016-03-11 00:00:00-05:00,16153.0
2016-03-12 00:00:00-05:00,14143.0
2016-03-13 00:00:00-05:00,15869.0
2016-03-14 00:00:00-04:00,20123.0
2016-03-15 00:00:00-04:00,20138.0
2016-03-16 00:00:00-04:00,20095.0
2016-03-17 00:00:00-04:00,19513.0
2016-03-18 00:00:00-04:00,18703.0
2016-03-19 00:00:00-04:00,17243.0
2016-03-20 00:00:00-04:00,16745.0
2016-03-21 00:00:00-04:00,20572.0
2016-03-22 00:00:00-04:00,20325.0
2016-03-23 00:00:00-04:00,19880.0
2016-03-24 00:00:00-04:00,22808.0
2016-03-25 00:00:00-04:00,20478.0
2016-03-26 00:00:00-04:00,21667.0
2016-03-27 00:00:00-04:00,20866.0
2016-03-28 00:00:00-04:00,20344.0
2016-03-29 00:00:00-04:00,20144.0
2016-03-30 00:00:00-04:00,19908.0
2016-03-31 00:00:00-04:00,20381.0
2016-04-01 00:00:00-04:00,18874.0
2016-04-02 00:00:00-04:00,15470.0
2016-04-03 00:00:00-04:00,16737.0
2016-04-04 00:00:00-04:00,20219.0
2016-04-05 00:00:00-04:00,20717.0
2016-04-06 00:00:00-04:00,20264.0
2016-04-07 00:00:00-04:00,20012.0
2016-04-08 00:00:00-04:00,18762.0
2016-04-09 00:00:00-04:00,15394.0
2016-04-10 00:00:00-04:00,17647.0
2016-04-11 00:00:00-04:00,20511.0
2016-04-12 00:00:00-04:00,20367.0
2016-04-13 00:00:00-04:00,20335.0
2016-04-14 00:00:00-04:00,20115.0
2016-04-15 00:00:00-04:00,19855.0
2016-04-16 00:00:00-04:00,15305.0
2016-04-17 00:00:00-04:00,16735.0
2016-04-18 00:00:00-04:00,20413.0
2016-04-19 00:00:00-04:00,20365.0
2016-04-20 00:00:00-04:00,20031.0
2016-04-21 00:00:00-04:00,20207.0
2016-04-22 00:00:00-04:00,19199.0
2016-04-23 00:00:00-04:00,15900.0
2016-04-24 00:00:00-04:00,17314.0
2016-04-25 00:00:00-04:00,20431.0
2016-04-26 00:00:00-04:00,20264.0
2016-04-27 00:00:00-04:00,20082.0
2016-04-28 00:00:00-04:00,19966.0
2016-04-29 00:00:00-04:00,19191.0
2016-04-30 00:00:00-04:00,16144.0
2016-05-01 00:00:00-04:00,16666.0
2016-05-02 00:00:00-04:00,20256.0
2016-05-03 00:00:00-04:00,19717.0
2016-05-04 00:00:00-04:00,19216.0
2016-05-05 00:00:00-04:00,18959.0
2016-05-06 00:00:00-04:00,17597.0
2016-05-07 00:00:00-04:00,13604.0
2016-05-08 00:00:00-04:00,12999.0
2016-05-09 00:00:00-04:00,18384.0
2016-05-10 00:00:00-04:00,16857.0
2016-05-11 00:00:00-04:00,18018.0
2016-05-12 00:00:00-04:00,17163.0
2016-05-13 00:00:00-04:00,15855.0
2016-05-14 00:00:00-04:00,11736.0
2016-05-15 00:00:00-04:00,12291.0
2016-05-16 00:00:00-04:00,17498.0
2016-05-17 00:00:00-04:00,17801.0
2016-05-18 00:00:00-04:00,18047.0
