,time,metric_name,metric_value,date,year
318780,2018-01-15 00:00:00-05:00,google.meet:total_call_minutes_by_external_users,0,2018-01-15,2018
318781,2018-01-15 00:00:00-05:00,google.meet:total_call_minutes_by_internal_users,0,2018-01-15,2018
318782,2018-01-15 00:00:00-05:00,google.meet:total_call_minutes_by_pstn_in_users,0,2018-01-15,2018
318783,2018-01-15 00:00:00-05:00,google.meet:total_call_minutes_chromebase,0,2018-01-15,2018
318784,2018-01-15 00:00:00-05:00,google.meet:total_call_minutes_chromebox,0,2018-01-15,2018
318785,2018-01-15 00:00:00-05:00,google.meet:total_call_minutes_ios,0,2018-01-15,2018
318786,2018-01-15 00:00:00-05:00,google.meet:total_call_minutes_jamboard,0,2018-01-15,2018
318787,2018-01-15 00:00:00-05:00,google.meet:total_call_minutes_unknown_client,0,2018-01-15,2018
318788,2018-01-15 00:00:00-05:00,google.meet:total_call_minutes_web,0,2018-01-15,2018
318789,2018-01-15 00:00:00-05:00,google.meet:total_meeting_minutes,0,2018-01-15,2018
319268,2018-01-16 00:00:00-05:00,google.meet:average_meeting_minutes,0,2018-01-16,2018
319269,2018-01-16 00:00:00-05:00,google.meet:average_meeting_minutes_with_11_to_15_calls,0,2018-01-16,2018
319270,2018-01-16 00:00:00-05:00,google.meet:average_meeting_minutes_with_16_to_25_calls,0,2018-01-16,2018
319271,2018-01-16 00:00:00-05:00,google.meet:average_meeting_minutes_with_26_to_50_calls,0,2018-01-16,2018
319272,2018-01-16 00:00:00-05:00,google.meet:average_meeting_minutes_with_2_calls,0,2018-01-16,2018
319273,2018-01-16 00:00:00-05:00,google.meet:average_meeting_minutes_with_3_to_5_calls,0,2018-01-16,2018
319274,2018-01-16 00:00:00-05:00,google.meet:average_meeting_minutes_with_6_to_10_calls,0,2018-01-16,2018
319275,2018-01-16 00:00:00-05:00,google.meet:lonely_meetings,0,2018-01-16,2018
319276,2018-01-16 00:00:00-05:00,google.meet:max_concurrent_usage_chromebase,0,2018-01-16,2018
319277,2018-01-16 00:00:00-05:00,google.meet:max_concurrent_usage_chromebox,0,2018-01-16,2018
319278,2018-01-16 00:00:00-05:00,google.meet:num_1day_active_users,0,2018-01-16,2018
319279,2018-01-16 00:00:00-05:00,google.meet:num_30day_active_users,0,2018-01-16,2018
319280,2018-01-16 00:00:00-05:00,google.meet:num_7day_active_users,0,2018-01-16,2018
319281,2018-01-16 00:00:00-05:00,google.meet:num_calls,0,2018-01-16,2018
319282,2018-01-16 00:00:00-05:00,google.meet:num_calls_android,0,2018-01-16,2018
319283,2018-01-16 00:00:00-05:00,google.meet:num_calls_by_external_users,0,2018-01-16,2018
319284,2018-01-16 00:00:00-05:00,google.meet:num_calls_by_internal_users,0,2018-01-16,2018
319285,2018-01-16 00:00:00-05:00,google.meet:num_calls_by_pstn_in_users,0,2018-01-16,2018
319286,2018-01-16 00:00:00-05:00,google.meet:num_calls_chromebase,0,2018-01-16,2018
319287,2018-01-16 00:00:00-05:00,google.meet:num_calls_chromebox,0,2018-01-16,2018
319288,2018-01-16 00:00:00-05:00,google.meet:num_calls_ios,0,2018-01-16,2018
319289,2018-01-16 00:00:00-05:00,google.meet:num_calls_jamboard,0,2018-01-16,2018
