,time,metric_name,metric_value
126,2015-03-24T00:00:00.000-0400,google.accounts:num_users_2sv_enrolled,0
127,2015-03-24T00:00:00.000-0400,google.accounts:num_users_2sv_enrolled_and_enforced,0
128,2015-03-24T00:00:00.000-0400,google.accounts:num_users_2sv_not_enforced,64051
129,2015-03-24T00:00:00.000-0400,google.accounts:num_users_2sv_not_enrolled,64051
130,2015-03-24T00:00:00.000-0400,google.accounts:num_users_2sv_not_enrolled_and_not_enforced,64051
131,2015-03-24T00:00:00.000-0400,google.accounts:num_users_2sv_not_enrolled_but_enforced,0
132,2015-03-24T00:00:00.000-0400,google.accounts:num_users_used_quota_lt_50percent,0
133,2015-03-24T00:00:00.000-0400,google.accounts:total_quota_in_mb,-64049
134,2015-03-24T00:00:00.000-0400,google.accounts:used_quota_in_mb,39535749
135,2015-03-24T00:00:00.000-0400,google.calendar:num_1day_active_users,2174
136,2015-03-24T00:00:00.000-0400,google.calendar:num_30day_active_users,6324
137,2015-03-24T00:00:00.000-0400,google.calendar:num_7day_active_users,4030
138,2015-03-24T00:00:00.000-0400,google.device_management:num_1day_google_sync_managed_devices,0
139,2015-03-24T00:00:00.000-0400,google.device_management:num_1day_google_sync_managed_users,0
140,2015-03-24T00:00:00.000-0400,google.device_management:num_1day_total_managed_devices,0
141,2015-03-24T00:00:00.000-0400,google.device_management:num_1day_total_managed_users,0
142,2015-03-24T00:00:00.000-0400,google.device_management:num_30day_google_sync_managed_devices,0
143,2015-03-24T00:00:00.000-0400,google.device_management:num_30day_google_sync_managed_users,0
144,2015-03-24T00:00:00.000-0400,google.device_management:num_30day_total_managed_devices,0
145,2015-03-24T00:00:00.000-0400,google.device_management:num_30day_total_managed_users,0
146,2015-03-24T00:00:00.000-0400,google.device_management:num_7day_google_sync_managed_devices,0
147,2015-03-24T00:00:00.000-0400,google.device_management:num_7day_google_sync_managed_users,0
148,2015-03-24T00:00:00.000-0400,google.device_management:num_7day_total_managed_devices,0
