time,google.accounts:drive_used_quota_in_mb,google.accounts:gmail_used_quota_in_mb,google.accounts:gplus_photos_used_quota_in_mb
2015-09-16,18977736.822441515,49300058.95963694,782175.7748729207
2015-09-17,19029748.5188996,49334860.71774732,783180.8795107679
2015-09-18,19085668.616656262,49357581.85893967,783588.4248739012
2015-09-19,19131608.87725948,49380921.52369822,784237.9740866256
2015-09-20,19178012.742670015,49418289.81813974,785067.0309966832
2015-09-21,19238254.188534994,49468660.50880347,785794.1072837476
2015-09-22,19306217.12857749,49526219.10918102,786534.9133911007
2015-09-23,19380039.494877677,49580953.659468904,787421.7207109286
2015-09-24,19456451.23615491,49621005.60845626,788189.4890742883
2015-09-25,19535732.140512574,49648086.8116385,788387.9506514107
2015-09-26,19603067.727031577,49674863.17409811,788869.7911195286
2015-09-27,19668495.778500244,49714744.654684216,789573.8789006638
2015-09-28,19745078.380407207,49766673.50257485,790216.6676195761
2015-09-29,19826041.07547254,49824814.75907642,790915.8441798837
2015-09-30,19909017.255024426,49879149.04755948,791805.0386855524
2015-10-01,19990283.923443604,49917832.141426355,792614.9659053079
2015-10-02,20069831.20270879,49942676.31668385,792888.1349871645
2015-10-03,20132353.10973093,49966519.23555841,793484.9953162614
2015-10-04,20188004.448412947,50002965.68376867,794340.4789864424
2015-10-05,20251756.715267353,50037752.741002105,795972.63297011
2015-10-06,20315222.21135567,50078523.225016735,797686.6409339781
2015-10-07,20376245.14207516,50115385.622198224,799613.7371983244
2015-10-08,20431398.459683366,50136628.19354591,801476.0167657865
2015-10-09,20481149.391997322,50144243.5289072,802802.9004273078
2015-10-10,20510459.437879845,50151266.822651766,804463.5916323556
2015-10-11,20530350.140283942,50171473.08216692,806387.6426119647
2015-10-12,20555178.322685447,50204056.710111246,808274.3218555091
2015-10-13,20578836.419465348,50243393.54766999,810236.0661045444
2015-10-14,20599963.72253965,50279635.60041813,812402.1802350421
2015-10-15,20615927.031001583,50301082.3204547,814485.5338827946
2015-10-19,20606251.229840487,50377689.96815807,821927.5293475542
2015-10-20,20606622.474502202,50421178.521387905,823987.7085063522
2015-10-21,20609829.486914203,50462079.5327184,826227.0775644579
2015-10-22,20613687.04591183,50488526.481767096,828353.2160579371
2015-10-23,20619948.94523708,50502381.65452709,829874.960003487
2015-10-24,20614106.763875186,50516565.876436,831692.2484495105
2015-10-25,20608579.93592739,50544711.182365976,833731.0159540889
2015-10-26,20619057.02134963,50585772.533042386,835679.3646196923
2015-10-27,20639739.270809073,50633844.865742855,837654.9276536623
2015-10-28,20669536.31862688,50678768.69932265,839793.6234106031
2015-10-29,20705798.97703362,50708521.20122072,841800.2603966891
2015-10-30,20749769.233570315,50724861.27942594,843177.4425545689
2015-10-31,20786003.961360477,50740656.063379385,844844.0369483284
2015-11-01,20826403.96367232,50769511.02427378,846727.1738182539
2015-11-02,20886115.721974865,50810346.19178025,848511.7843712133
2015-11-03,20958324.012039095,50857237.90792807,850319.9030323854
2015-11-04,21040966.564275924,50900025.9276079,852291.9506426634
2015-11-05,21130368.3343773,50926709.41534265,854129.3140309899
2015-11-06,21226815.247709364,50939128.136718914,855327.3942567055
2015-11-07,21313613.255047318,50950279.90626542,856822.7590650381
2015-11-08,21401963.761892598,50973922.38274214,858542.3189583967
2015-11-09,21506430.0820918,51009108.194514245,860166.3014380994
2015-11-10,21619280.044057243,51050046.16088262,861819.5623299315
2015-11-12,21857411.148863196,51107211.046372496,865340.500382678
2015-11-13,21978185.85047419,51113560.578113794,866391.5262471628
2015-11-14,22082702.787514623,51118927.54499241,867751.6573410055
2015-11-15,22182168.290550794,51137234.77142198,869346.6492416208
2015-11-16,22291348.196439866,51167647.74521124,870851.3332791185
2015-11-17,22402442.045655433,51204455.91021871,872392.9480755269
2015-11-18,22512811.12370771,51237674.92518867,874117.6147332417
2015-11-19,22618383.69959681,51255446.96435665,875716.9765452466
2015-11-20,22719437.63281111,51259791.00112107,876669.6179175185
2015-11-21,22798885.790734757,51263901.62918868,877945.6423484556
2015-11-22,22868795.30847442,51281696.21215602,879470.2262804068
2015-11-23,22944931.10483679,51312272.335918285,880913.4614377886
2015-11-24,23020143.991486404,51349814.84376649,882405.64976393
2015-11-25,23092579.83047135,51384202.306586064,884096.3144405129
2015-11-26,23155713.871526144,51406522.446294695,884807.0962310331
2015-11-27,23213913.80158321,51415545.23939922,884876.6868614196
2015-11-28,23250632.903833147,51424340.19446941,885291.3521421172
2015-11-29,23278951.857334852,51446699.39202885,885974.9141037988
2015-11-30,23315647.226544995,51481558.32030284,886593.2177922685
2015-12-01,23354115.17308951,51522931.00751377,887278.3840967328
2015-12-02,23393054.863346685,51560521.81814439,888181.1314182135
2015-12-03,23429609.006509356,51582145.47034256,888985.021763262
2015-12-04,23465317.10481203,51589569.43542157,889156.1880164936
2015-12-05,23483631.455654636,51595810.69305511,889689.3809989233
2015-12-06,23498005.449223198,51614637.22008786,890506.1347937195
2015-12-07,23525531.600955315,51644947.45395804,891267.1299438319
2015-12-08,23559424.952675227,51680735.05736165,892103.5111419453
2015-12-09,23598183.118514813,51711703.18603944,893164.8680524074
2015-12-10,23638621.937851712,51725691.13752438,894128.8209170881
2015-12-12,23710858.98089469,51721480.47154801,895139.2676037862
2015-12-13,23738550.903409157,51730400.56016889,896104.2951673953
2015-12-14,23781814.843851734,51750379.103486754,897002.3801638751
2015-12-15,23833156.49826363,51775573.61519032,897962.6592758398
