time,google.accounts:drive_used_quota_in_mb,google.accounts:gmail_used_quota_in_mb,google.accounts:gplus_photos_used_quota_in_mb
2016-04-10,35183535.107370675,54267801.730494805,1003424.1031618449
2016-04-11,35334607.28872293,54280672.62617111,1005621.003785995
2016-04-12,35492212.06937984,54300793.55665637,1007925.4410119264
2016-04-13,35653276.60890025,54317850.81721994,1010499.1586181578
2016-04-15,35970604.98161542,54308250.80547755,1014673.6393021524
2016-04-16,36101590.60285415,54298318.59800486,1016783.9964586708
2016-04-17,36224972.59268706,54304792.12240294,1019186.6430333485
2016-04-18,36366272.63413026,54326955.16892077,1021475.5225026995
2016-04-20,36666075.08491368,54389879.36885453,1026301.6321870605
2016-04-21,36816192.19956936,54407441.16892394,1028621.6061957835
2016-04-22,36966119.733851254,54413659.93534933,1030118.7050973887
2016-04-23,37088771.57027039,54422555.63773705,1031949.375480836
2016-04-24,37204461.134986594,54448892.84782347,1034015.3810513522
2016-04-25,37306435.9967522,54483442.447921254,1035768.9442658267
2016-04-26,37416223.98394601,54528006.7824702,1037507.8848840586
2016-04-27,37530799.277302034,54571624.14914774,1039406.4620458896
2016-04-29,37758993.050108604,54618855.06495716,1041932.100544319
2016-04-30,37846371.7860431,54638065.955879584,1043104.0796791408
2016-05-01,37927356.14865071,54673471.77077594,1044516.6167260559
2016-05-02,38028525.45593675,54723768.89016182,1045775.5853354895
2016-05-03,38138045.71943244,54782416.20328751,1047041.098759514
2016-05-04,38252675.44128159,54838292.17150483,1048495.7258528115
2016-05-05,38366558.18395761,54878279.185692675,1049769.7861318605
2016-05-06,38481013.92134927,54904160.17448517,1050238.2596653425
2016-05-07,38567696.806034945,54929729.82033729,1051084.003044189
2016-05-08,38647491.3121081,54969594.15283757,1052220.3774044218
2016-05-09,38747333.29703913,55022513.29937937,1053253.654212111
2016-05-10,38855078.03936448,55082028.44097045,1054346.0800128148
2016-05-11,38967355.56298292,55137115.16413275,1055681.4311596195
2016-05-12,39078164.82414375,55174767.98088591,1056887.4649011446
2016-05-13,39188840.762542024,55196929.26680143,1057334.4178881084
2016-05-14,39270559.83027118,55217587.72978194,1058208.7314563866
2016-05-15,39344633.04238535,55251546.50529366,1059420.242126072
2016-05-16,39438555.062522486,55297722.36666789,1060569.5769026156
2016-05-17,39540076.531197354,55349791.52538889,1061815.6917916539
2016-05-18,39645901.62712052,55396839.80544702,1063338.8531008437
2016-05-19,39750076.664964765,55425949.12514312,1064760.307886943
2016-05-20,39854125.96476768,55439161.75305934,1065442.4091991533
2016-05-21,39928898.81786937,55450570.09420613,1066572.8636708357
2016-05-22,39996253.89319636,55475058.283946805,1068056.4732057173
2016-05-23,40084331.75923904,55511563.61471832,1069487.4857724167
2016-05-24,40180828.0418608,55553747.503179796,1071021.553124657
2016-05-25,40282531.01377987,55590649.1642451,1072836.0663374404
2016-05-27,40485389.23539617,55611634.2264186,1075510.3598767153
2016-05-28,40558600.8323614,55611767.72770085,1076917.260585627
2016-05-29,40625401.07887201,55624527.704090334,1078669.6972403184
2016-05-30,40714402.18587742,55648777.16595729,1080357.9503823267
2016-05-31,40813045.55666006,55678096.23405437,1082136.8181511923
2016-06-02,41023074.01256884,55705757.644857466,1086109.9990621842
2016-06-03,41129839.1765819,55693015.81466207,1087269.130116492
2016-06-04,41208030.5108782,55677309.452257745,1088856.6495168565
2016-06-05,41280098.5114636,55673547.67773731,1090773.2919720444
2016-06-06,41374930.93841273,55680649.851579,1092606.5062811961
2016-06-08,41590328.20135185,55697467.20261557,1096663.8154925467
2016-06-09,41700819.258782856,55683300.88186572,1098674.8420001369
2016-06-10,41812379.33481338,55651932.7073787,1099891.8480366191
2016-06-11,41894083.53957723,55617694.02642776,1101515.7189389823
2016-06-12,41968606.86903845,55595756.979576215,1103445.5596033179
2016-06-13,42065195.29795296,55585285.41814225,1105265.6218585595
2016-06-14,42170570.343225405,55580179.513950236,1107130.2825197305
2016-06-15,42281015.33850704,55569733.40412495,1109216.2629989749
2016-06-16,42335563.39980504,55550276.23144581,1110580.997373277
2016-06-17,42390012.103227496,55515177.8077278,1111117.662953438
2016-06-18,42413139.7616859,55479041.64107183,1112032.0078107445
2016-06-19,42428118.56224989,55457301.99050682,1113222.105186429
2016-06-20,42464670.79908146,55449317.381677896,1114270.9945528535
2016-06-21,42509515.005354054,55449130.78646158,1115334.2125036614
