time,google.accounts:num_users,google.accounts:num_disabled_accounts,google.accounts:num_suspended_users
2015-08-01,72409.53553487427,38770.731252759295,38775.08210218208
2015-08-02,72425.6122279858,38805.17681619854,38810.91919649849
2015-08-03,72462.9590071011,38844.356898092024,38851.754011175726
2015-08-04,72504.86006702101,38895.673136064506,38904.914022847675
2015-08-05,72537.8890581009,38938.37548825005,38949.660862277306
2015-08-06,72570.13149616249,39027.21046057669,39040.3935081836
2015-08-07,72601.58097348563,39060.12163141164,39075.67499639252
2015-08-08,72620.41864013187,39096.425441454405,39114.231429263484
2015-08-09,72641.85877523769,39132.24495128658,39152.0099264128
2015-08-10,72684.12376427806,39166.97209047249,39188.999862552235
2015-08-11,72730.30645190667,39207.96645660193,39232.48706775705
2015-08-12,72766.80923013116,39234.65512011003,39261.89709673055
2015-08-13,72801.61651737319,39301.75677068806,39331.623307554655
2015-08-14,72834.61892271588,39307.930915441924,39340.89148644184
2015-08-15,72853.88613130146,39312.64682966159,39348.60527564096
2015-08-16,72874.61347175871,39312.53006053714,39351.20856557542
2015-08-17,72915.03734450864,39307.54416244336,39349.25533535853
2015-08-18,72958.20163890473,39305.65980098859,39350.64168285848
2015-08-19,72990.49474185587,39287.089946593806,39335.565381379405
2015-08-20,73019.96784429792,39307.076472747525,39358.965378075765
2015-08-21,73046.58252679901,39265.47557784296,39321.21186466742
2015-08-22,73058.47235844909,39222.30876737816,39281.78695319733
2015-08-23,73069.85235083636,39274.36027013813,39330.77295718524
2015-08-24,73100.27026411316,39322.88774877673,39376.54516133423
2015-08-25,73132.87276298703,39376.618791254776,39427.757725345946
2015-08-26,73154.17053153308,39416.39749231465,39465.24083764415
2015-08-27,73172.39721697215,39498.480760761806,39544.93198857715
2015-08-28,73187.6786010995,39522.51093170802,39567.02515121352
2015-08-29,73188.2816798245,39549.37527529624,39591.84951972433
2015-08-30,73189.74832132692,39576.88086381181,39617.02366235654
2015-08-31,73210.68287569018,39606.07570761773,39644.188497247225
2015-09-01,73234.32370842538,39646.01599041011,39682.316859416205
2015-09-02,73247.2649806024,39677.38179361275,39712.08582829936
2015-09-03,73257.85743235181,39757.166995105064,39790.12312478991
2015-09-04,73266.30348737632,39783.521502025185,39815.20625241505
2015-09-05,73260.89600727758,39817.90150249051,39848.180343532484
2015-09-06,73257.24580217623,39857.72332924043,39886.27001911325
2015-09-07,73274.01071865644,39903.58792283282,39930.673583219825
2015-09-08,73294.37513457835,39964.12183502776,39989.924535137405
2015-09-09,73304.86653057302,40019.1198482072,40043.825809861446
2015-09-10,73313.80246446555,40125.64513407574,40149.027963837565
2015-09-11,73321.31589213085,40179.756703397325,40202.293872943075
2015-09-12,73315.58768553528,40242.96453734162,40264.469826956396
2015-09-13,73312.17177084384,40311.87476593175,40331.96742192537
2015-09-14,73329.66904660389,40386.32763819157,40405.229163911106
2015-09-15,73351.1176730911,40474.3200615325,40492.14970803985
2015-09-16,73362.90667055463,40554.68025363513,40571.577165732306
2015-09-17,73373.27066161131,40684.58051049184,40700.22544663634
2015-09-18,73382.2462871144,40758.14934269464,40773.00400216961
2015-09-19,73377.89864967448,40837.22805394249,40851.03875511816
2015-09-20,73375.74352756387,40918.0009484736,40930.317757405544
2015-09-21,73394.36488318977,41000.03778872366,41011.019200733994
2015-09-22,73416.7140648263,41091.28630656455,41100.980833055626
2015-09-23,73429.11797267874,41170.26503323951,41178.7544895559
2015-09-24,73439.81861621104,41294.97284675399,41301.83676824777
2015-09-25,73448.85727520403,41358.36835707752,41364.04638431544
2015-09-26,73444.29123106979,41423.40929933617,41427.57630015788
2015-09-27,73441.70924812864,41486.648390907656,41488.783761584025
2015-09-28,73459.78881490525,41548.16062288022,41548.36104834415
2015-09-29,73481.50047423686,41616.58630045317,41614.83360635289
2015-09-30,73493.20696613149,41670.8233056105,41667.14903258812
2015-10-01,73503.24431486028,41770.315850984916,41764.20848170222
2015-10-02,73511.73085864658,41807.38516520133,41799.27564784124
2015-10-03,73506.77189030388,41846.53779263619,41836.04614828715
2015-10-04,73504.06659897525,41885.015603169864,41871.57039891411
2015-10-05,73522.40386411952,41923.599145934866,41907.258288361474
2015-10-06,73544.77119592858,41971.695422495526,41952.40018325426
2015-10-07,73557.54501326963,42008.52693870207,41986.28767645901
2015-10-08,73569.11408807278,42094.800274638445,42069.046287734236
2015-10-09,73579.6149121338,42121.89195232399,42093.079910110726
2015-10-10,73577.12630795043,42155.432733864356,42123.16449630875
2015-10-11,73577.37041687674,42192.821940403504,42156.51389080465
2015-10-12,73599.15007285634,42234.91986528677,42194.631389930015
2015-10-13,73619.3152680895,42183.47078439518,42145.23579866027
2015-10-14,73630.20086216656,42125.110942701256,42088.95524275401
2015-10-15,73640.14231896811,42120.58983402965,42085.947686053696
2015-10-16,73649.1926613297,42060.22094210105,42027.5931285679
2015-10-17,73645.3156094952,42009.523768302555,41978.54161276338
2015-10-18,73644.16933157523,41965.227151123334,41935.34816045668
2015-10-19,73664.49118823685,41927.45958051945,41898.79245211343
2015-10-20,73689.04955908579,41904.82990034476,41877.377936369725
2015-10-21,73704.01128375766,41875.45615685333,41849.30647686251
2015-10-22,73717.64194431166,41898.963989785654,41873.641270611086
2015-10-23,73729.9204578936,41865.489263002804,41841.537338949674
2015-10-24,73728.72802522447,41839.44270812957,41816.56631120421
2015-10-25,73729.70578303038,41816.873655082316,41794.6025584276
2015-10-26,73751.59697912184,41797.283252692825,41775.79353176552
2015-10-27,73777.12980049658,41788.69476731583,41768.058670979684
2015-10-28,73792.45639510515,41768.91299892421,41749.27446566407
2015-10-29,73805.88685201909,41796.91769762445,41777.88122372751
2015-10-30,73817.44857307061,41763.262479591525,41745.398922112574
2015-10-31,73815.06723475938,41731.948097561384,41715.01490677178
2015-11-01,73814.49434577565,41699.12983727852,41682.70458196831
2015-11-02,73834.60277877578,41664.534543323265,41648.833383529374
2015-11-03,73858.19657667016,41636.49951875481,41621.63453892136
2015-11-04,73871.51770831321,41593.44013165966,41579.582182920916
2015-11-05,73883.01019885784,41594.61504769382,41581.418753134916
2015-11-06,73892.82114630094,41531.89796348731,41519.932688676825
2015-11-07,73888.97107900794,41469.73636134746,41458.7858309068
2015-11-08,73887.34940472773,41405.180333061086,41394.84633023762
2015-11-09,73906.96195995735,41338.88263605054,41329.401356400216
2015-11-10,73930.667180176,41280.08740915556,41271.59478246267
2015-11-11,73944.75072884423,41208.28965440096,41200.971881682926
2015-11-12,73957.72067703499,41183.35886091901,41176.9137568932
2015-11-13,73969.75180670874,41098.673373209764,41093.66653066093
2015-11-14,73968.84770870667,41019.157962453166,41015.40160531408
2015-11-15,73970.90710969623,40942.63111251353,40939.757653520544
2015-11-16,73994.92698564219,40870.388940691235,40868.66474171114
2015-11-17,74023.66910328777,40812.14836715921,40811.74643274238
2015-11-18,74043.30687629037,40747.906823028105,40749.04429189236
2015-11-19,74062.25616856838,40737.43614908689,40739.871133936
2015-11-20,74080.56754544788,40674.794746251806,40679.106779121954
2015-11-21,74086.08472201029,40624.462025444984,40630.50919036014
2015-11-22,74094.58618866114,40584.024710774924,40591.48608883596
2015-11-23,74124.94798642007,40554.36718921072,40563.553072111456
2015-11-24,74159.74426874465,40544.59317346151,40555.724222933575
2015-11-25,74184.96947161324,40534.11058055127,40547.4414455161
2015-11-26,74208.90716687763,40581.52095983706,40596.87188873305
2015-11-27,74231.47194729367,40580.5343876143,40598.49535788968
2015-11-28,74240.3651121898,40594.22486850618,40614.69055034797
2015-11-29,74251.29164371498,40619.07826405293,40641.7590687215
2015-11-30,74283.08184936883,40654.809674036864,40680.03831184889
2015-12-01,74318.22431592473,40709.28169735645,40737.298875741304
2015-12-02,74342.66096902173,40760.829654896035,40791.89407598225
2015-12-03,74370.64319958241,40938.084596839704,40967.79362726467
2015-12-04,74396.16252995802,41063.02367182811,41091.91909649143
2015-12-05,74406.95257605688,41197.37203780314,41225.318876373654
2015-12-06,74418.83290651423,41336.71047355162,41363.378100492846
2015-12-07,74450.78572105347,41479.9456452196,41505.617149049096
2015-12-08,74485.3982443942,41634.298899965186,41659.15665657938
2015-12-09,74508.733206451,41777.472869825644,41801.71522507292
2015-12-10,74529.27587308009,41966.599820753836,41989.981616127276
2015-12-11,74547.1495838732,42093.83107370862,42116.86258437361
2015-12-12,74550.24639513859,42221.20651682419,42243.69621196761
2015-12-13,74554.61193344445,42344.36613355083,42365.92630411094
2015-12-14,74579.45873466384,42462.47218656341,42483.33313309479
2015-12-15,74607.5112778284,42583.224770680856,42603.51418348963
2015-12-16,74624.96489182957,42684.773453585316,42704.64368377715
2015-12-17,74640.47250746861,42825.360312206714,42844.50223822538
2015-12-18,74654.28424462714,42897.30801641578,42916.208763738476
2015-12-19,74654.36557165248,42964.04302836094,42982.46786637721
2015-12-20,74656.87352014815,43022.25346110292,43039.77536256591
2015-12-21,74681.10957609808,43072.24231405052,43089.06028838897
2015-12-22,74709.77100472343,43122.95134744736,43139.162856938965
2015-12-23,74729.00249614778,43153.602160015784,43169.34014302802
2015-12-24,74747.4274951084,43224.021490501415,43238.94069110942
2015-12-25,74765.217104292,43227.01898209922,43241.61155746667
2015-12-26,74770.20129168489,43227.5587068706,43241.57437625664
2015-12-27,74778.44210921429,43223.36170518819,43236.3603918841
2015-12-28,74809.13173218098,43215.69233973153,43227.86586039119
2015-12-29,74844.7554683479,43214.396191896405,43225.8330021122
2015-12-30,74871.24118145472,43199.27974179085,43210.11110834645
2015-12-31,74897.03974140438,43231.13031717001,43240.988628744395
2016-01-01,74922.12716247118,43202.49881613532,43211.89073184282
2016-01-02,74934.11204255407,43179.037343272226,43187.70199313422
2016-01-03,74948.90814474924,43158.5662847592,43166.050945519724
2016-01-04,74985.57905239525,43142.31521965607,43148.800465369604
2016-01-05,75026.41339612757,43139.99734530273,43145.55437870443
2016-01-06,75057.17163994414,43130.950801115345,43135.69717530747
2016-01-07,75086.21429888697,43175.8763015402,43179.40674485767
2016-01-08,75113.43505930211,43166.04731747723,43168.865073589375
2016-01-09,75126.36136060969,43166.83527765328,43168.64910636547
2016-01-10,75140.9225007521,43175.261107879014,43175.58482027548
2016-01-11,75176.23642616691,43191.70866877313,43190.69061680426
2016-01-12,75214.59218057526,43225.05133927805,43222.72523694578
2016-01-13,75241.78868234133,43253.56795476919,43250.01905253842
2016-01-14,75266.3051142856,43337.40818611512,43332.17748527143
2016-01-15,75288.15936352324,43366.23715743976,43359.81176244489
2016-01-16,75294.99617473855,43404.952006613006,43397.00166693679
2016-01-17,75302.94545555442,43449.71847743506,43439.71961943832
2016-01-18,75331.34627271279,43500.1543231197,43488.224392212316
2016-01-19,75362.6321256253,43564.502467715676,43550.64461188078
2016-01-20,75382.75797076664,43620.31315839561,43604.593073462056
2016-01-21,75400.40979403986,43727.626133671074,43709.54972184804
2016-01-22,75415.78621539591,43775.0364826287,43755.09910385278
2016-01-23,75420.66441545874,43876.17301174533,43856.947771858795
2016-01-24,75427.37156571439,43978.479334711395,43959.43999177697
