time,google.accounts:num_users,google.accounts:drive_used_quota_in_mb
2019-07-20 04:00:00+00:00,108755,176434833.0
2019-07-21 04:00:00+00:00,108762,176509596.0
2019-07-22 04:00:00+00:00,108789,176643577.0
2019-07-23 04:00:00+00:00,108819,176863486.0
2019-07-24 04:00:00+00:00,108858,177065592.0
2019-07-25 04:00:00+00:00,108888,177310464.0
2019-07-26 04:00:00+00:00,108911,177372755.0
2019-07-27 04:00:00+00:00,108917,177435091.0
2019-07-28 04:00:00+00:00,108924,177467428.0
2019-07-29 04:00:00+00:00,108952,177495734.0
2019-07-30 04:00:00+00:00,108996,177492015.0
2019-07-31 04:00:00+00:00,109027,178413316.0
2019-08-02 04:00:00+00:00,109078,179748697.0
2019-08-03 04:00:00+00:00,109082,179776833.0
2019-08-04 04:00:00+00:00,109099,179801570.0
2019-08-05 04:00:00+00:00,109130,180196332.0
2019-08-06 04:00:00+00:00,109158,180468153.0
2019-08-07 04:00:00+00:00,109192,180487233.0
2019-08-08 04:00:00+00:00,109221,180554870.0
2019-08-09 04:00:00+00:00,109233,180558822.0
2019-08-10 04:00:00+00:00,109244,180595188.0
2019-08-11 04:00:00+00:00,109250,180608334.0
2019-08-12 04:00:00+00:00,109280,180675253.0
2019-08-13 04:00:00+00:00,109322,180751401.0
2019-08-14 04:00:00+00:00,109409,180860832.0
2019-08-15 04:00:00+00:00,109441,180993573.0
2019-08-16 04:00:00+00:00,109464,181083089.0
2019-08-17 04:00:00+00:00,109476,181105049.0
