time,TotalCallMinutes
2018-08-07T00:00:00.000-0400,601
2018-08-08T00:00:00.000-0400,555
2018-08-09T00:00:00.000-0400,587
2018-08-11T00:00:00.000-0400,231
2018-08-13T00:00:00.000-0400,788
2018-08-14T00:00:00.000-0400,718
2018-08-15T00:00:00.000-0400,860
2018-08-16T00:00:00.000-0400,2167
2018-08-17T00:00:00.000-0400,1211
2018-08-18T00:00:00.000-0400,0
2018-08-19T00:00:00.000-0400,225
2018-08-20T00:00:00.000-0400,1132
2018-08-21T00:00:00.000-0400,1680
2018-08-22T00:00:00.000-0400,948
2018-08-23T00:00:00.000-0400,1452
2018-08-24T00:00:00.000-0400,1193
2018-08-25T00:00:00.000-0400,629
2018-08-26T00:00:00.000-0400,1236
2018-08-27T00:00:00.000-0400,2107
2018-08-28T00:00:00.000-0400,859
2018-08-29T00:00:00.000-0400,1662
2018-08-30T00:00:00.000-0400,687
2018-08-31T00:00:00.000-0400,1099
2018-09-01T00:00:00.000-0400,135
2018-09-02T00:00:00.000-0400,111
2018-09-03T00:00:00.000-0400,272
2018-09-04T00:00:00.000-0400,1430
2018-09-06T00:00:00.000-0400,911
2018-09-07T00:00:00.000-0400,1731
2018-09-08T00:00:00.000-0400,518
2018-09-09T00:00:00.000-0400,985
2018-09-10T00:00:00.000-0400,2388
2018-09-11T00:00:00.000-0400,2149
2018-09-12T00:00:00.000-0400,3113
2018-09-13T00:00:00.000-0400,4043
2018-09-14T00:00:00.000-0400,1579
2018-09-15T00:00:00.000-0400,259
2018-09-16T00:00:00.000-0400,491
2018-09-17T00:00:00.000-0400,2712
2018-09-18T00:00:00.000-0400,2537
2018-09-19T00:00:00.000-0400,2096
2018-09-20T00:00:00.000-0400,2053
2018-09-21T00:00:00.000-0400,1187
2018-09-22T00:00:00.000-0400,585
2018-09-23T00:00:00.000-0400,1226
2018-09-24T00:00:00.000-0400,4084
2018-09-25T00:00:00.000-0400,651
2018-09-26T00:00:00.000-0400,1799
2018-09-27T00:00:00.000-0400,1612
2018-09-28T00:00:00.000-0400,1494
2018-09-29T00:00:00.000-0400,369
2018-09-30T00:00:00.000-0400,1166
2018-10-01T00:00:00.000-0400,1751
2018-10-02T00:00:00.000-0400,3994
2018-10-03T00:00:00.000-0400,5175
2018-10-04T00:00:00.000-0400,1537
2018-10-05T00:00:00.000-0400,2111
2018-10-06T00:00:00.000-0400,899
2018-10-07T00:00:00.000-0400,922
2018-10-08T00:00:00.000-0400,1998
2018-10-09T00:00:00.000-0400,2725
2018-10-10T00:00:00.000-0400,2852
2018-10-11T00:00:00.000-0400,3514
2018-10-12T00:00:00.000-0400,2011
2018-10-13T00:00:00.000-0400,204
2018-10-14T00:00:00.000-0400,1087
2018-10-15T00:00:00.000-0400,1414
2018-10-16T00:00:00.000-0400,1631
2018-10-17T00:00:00.000-0400,2789
2018-10-18T00:00:00.000-0400,2383
2018-10-19T00:00:00.000-0400,2037
2018-10-20T00:00:00.000-0400,471
2018-10-21T00:00:00.000-0400,1371
2018-10-22T00:00:00.000-0400,2697
2018-10-23T00:00:00.000-0400,1433
2018-10-24T00:00:00.000-0400,1966
2018-10-25T00:00:00.000-0400,2001
2018-10-26T00:00:00.000-0400,1820
2018-10-27T00:00:00.000-0400,617
2018-10-28T00:00:00.000-0400,771
2018-10-29T00:00:00.000-0400,1612
2018-10-30T00:00:00.000-0400,1780
2018-10-31T00:00:00.000-0400,2359
2018-11-01T00:00:00.000-0400,1358
2018-11-02T00:00:00.000-0400,1935
2018-11-03T00:00:00.000-0400,1041
2018-11-04T00:00:00.000-0400,698
2018-11-05T00:00:00.000-0500,1388
2018-11-06T00:00:00.000-0500,2097
2018-11-07T00:00:00.000-0500,2944
2018-11-08T00:00:00.000-0500,1028
2018-11-09T00:00:00.000-0500,1783
2018-11-10T00:00:00.000-0500,693
2018-11-11T00:00:00.000-0500,2784
2018-11-12T00:00:00.000-0500,1510
2018-11-13T00:00:00.000-0500,1514
2018-11-14T00:00:00.000-0500,2924
2018-11-15T00:00:00.000-0500,1854
2018-11-16T00:00:00.000-0500,1163
2018-11-17T00:00:00.000-0500,38
2018-11-18T00:00:00.000-0500,485
2018-11-19T00:00:00.000-0500,2148
2018-11-20T00:00:00.000-0500,1213
2018-11-21T00:00:00.000-0500,404
2018-11-22T00:00:00.000-0500,0
2018-11-23T00:00:00.000-0500,173
2018-11-24T00:00:00.000-0500,197
2018-11-25T00:00:00.000-0500,1065
2018-11-26T00:00:00.000-0500,2152
2018-11-27T00:00:00.000-0500,1609
2018-11-28T00:00:00.000-0500,1681
2018-11-29T00:00:00.000-0500,1705
2018-11-30T00:00:00.000-0500,3152
2018-12-01T00:00:00.000-0500,216
2018-12-02T00:00:00.000-0500,468
2018-12-03T00:00:00.000-0500,1020
2018-12-04T00:00:00.000-0500,1781
2018-12-05T00:00:00.000-0500,1557
2018-12-06T00:00:00.000-0500,2329
2018-12-07T00:00:00.000-0500,1188
2018-12-08T00:00:00.000-0500,8
2018-12-09T00:00:00.000-0500,1469
2018-12-10T00:00:00.000-0500,5562
2018-12-11T00:00:00.000-0500,7297
2018-12-12T00:00:00.000-0500,1806
2018-12-13T00:00:00.000-0500,1674
2018-12-14T00:00:00.000-0500,953
2018-12-15T00:00:00.000-0500,168
2018-12-16T00:00:00.000-0500,124
2018-12-17T00:00:00.000-0500,2612
2018-12-18T00:00:00.000-0500,1496
2018-12-19T00:00:00.000-0500,611
2018-12-20T00:00:00.000-0500,610
2018-12-21T00:00:00.000-0500,293
2018-12-22T00:00:00.000-0500,284
2018-12-23T00:00:00.000-0500,0
2018-12-24T00:00:00.000-0500,0
2018-12-25T00:00:00.000-0500,1094
2018-12-26T00:00:00.000-0500,0
2018-12-27T00:00:00.000-0500,0
2018-12-28T00:00:00.000-0500,0
2018-12-29T00:00:00.000-0500,0
2018-12-30T00:00:00.000-0500,0
2018-12-31T00:00:00.000-0500,0
2019-01-01T00:00:00.000-0500,0
2019-01-02T00:00:00.000-0500,547
2019-01-03T00:00:00.000-0500,603
2019-01-04T00:00:00.000-0500,1128
2019-01-05T00:00:00.000-0500,0
2019-01-06T00:00:00.000-0500,0
2019-01-07T00:00:00.000-0500,3037
2019-01-08T00:00:00.000-0500,4391
2019-01-09T00:00:00.000-0500,468
2019-01-10T00:00:00.000-0500,776
2019-01-11T00:00:00.000-0500,1478
2019-01-12T00:00:00.000-0500,42
2019-01-13T00:00:00.000-0500,0
2019-01-14T00:00:00.000-0500,3124
2019-01-15T00:00:00.000-0500,923
2019-01-16T00:00:00.000-0500,698
2019-01-17T00:00:00.000-0500,2111
2019-01-18T00:00:00.000-0500,1714
2019-01-19T00:00:00.000-0500,392
2019-01-20T00:00:00.000-0500,547
2019-01-21T00:00:00.000-0500,855
2019-01-22T00:00:00.000-0500,1644
2019-01-23T00:00:00.000-0500,1138
2019-01-24T00:00:00.000-0500,2553
2019-01-25T00:00:00.000-0500,2691
2019-01-26T00:00:00.000-0500,514
2019-01-27T00:00:00.000-0500,605
2019-01-28T00:00:00.000-0500,2486
2019-01-29T00:00:00.000-0500,2935
2019-01-30T00:00:00.000-0500,2626
2019-01-31T00:00:00.000-0500,2115
2019-02-01T00:00:00.000-0500,1980
2019-02-02T00:00:00.000-0500,337
2019-02-03T00:00:00.000-0500,1754
2019-02-04T00:00:00.000-0500,2318
2019-02-05T00:00:00.000-0500,3440
2019-02-06T00:00:00.000-0500,3270
2019-02-07T00:00:00.000-0500,2409
2019-02-08T00:00:00.000-0500,2037
2019-02-09T00:00:00.000-0500,1379
2019-02-11T00:00:00.000-0500,3171
2019-02-12T00:00:00.000-0500,5617
2019-02-13T00:00:00.000-0500,5308
2019-02-14T00:00:00.000-0500,2767
2019-02-15T00:00:00.000-0500,2189
2019-02-16T00:00:00.000-0500,701
2019-02-17T00:00:00.000-0500,2393
2019-02-18T00:00:00.000-0500,1861
2019-02-19T00:00:00.000-0500,3605
2019-02-20T00:00:00.000-0500,3635
2019-02-21T00:00:00.000-0500,3279
2019-02-22T00:00:00.000-0500,1673
2019-02-23T00:00:00.000-0500,474
2019-02-24T00:00:00.000-0500,2039
2019-02-25T00:00:00.000-0500,2177
2019-02-26T00:00:00.000-0500,3520
2019-02-27T00:00:00.000-0500,2554
2019-02-28T00:00:00.000-0500,3371
2019-03-01T00:00:00.000-0500,4139
2019-03-02T00:00:00.000-0500,112
2019-03-03T00:00:00.000-0500,2394
2019-03-04T00:00:00.000-0500,1479
2019-03-05T00:00:00.000-0500,579
2019-03-06T00:00:00.000-0500,2040
2019-03-07T00:00:00.000-0500,2299
2019-03-08T00:00:00.000-0500,1706
2019-03-09T00:00:00.000-0500,725
2019-03-10T00:00:00.000-0500,1379
2019-03-11T00:00:00.000-0400,2586
2019-03-12T00:00:00.000-0400,5257
2019-03-13T00:00:00.000-0400,2184
2019-03-14T00:00:00.000-0400,1631
2019-03-15T00:00:00.000-0400,1854
2019-03-16T00:00:00.000-0400,407
2019-03-17T00:00:00.000-0400,1671
2019-03-18T00:00:00.000-0400,1136
2019-03-19T00:00:00.000-0400,2886
2019-03-20T00:00:00.000-0400,3773
