,time,num_meetings,num_calls,average_meeting_minutes,num_30day_active_users,total_meeting_minutes,total_call_minutes
647,2019-11-30,1.571270982558196,9.23856473591171,-2.3653525593888998,908.247273740331,98.69133815107728,563.0380542644018
648,2019-12-01,4.721121669620544,21.41249284508215,-2.975843623146302,898.0125795371918,242.68851608863585,1300.9628078576493
649,2019-12-02,16.142686479394996,56.69601557532736,-2.9115617360554413,909.7394784470158,509.2406845803811,2921.5925465570276
650,2019-12-03,17.92311920484447,58.38269096696626,-2.9185375429579987,878.3522760928154,585.7534448665797,3168.208093682583
651,2019-12-04,17.47740273667176,56.91689177415673,-3.3592103424297153,868.8118098659712,603.3370964650547,3099.899159262891
652,2019-12-05,16.802871510254796,55.30802903117329,-3.6172074353710717,880.2136718660195,562.0485242914182,2784.351843269157
653,2019-12-06,12.103878515099423,41.63382517474722,-3.9973181752353804,892.312769709795,458.55615404113826,2520.1194688373653
654,2019-12-07,-0.46733415248116633,3.6559603153489357,-4.493629764613725,863.2841566942699,118.31616233774076,781.3220701910188
655,2019-12-08,2.449028251266538,14.681960639227654,-5.210080695686216,846.7258637408928,248.5088069606927,1438.9944982347167
656,2019-12-09,13.656039254225071,48.705566215209856,-4.862699113063294,851.9297448001151,499.3415148775403,2976.088026821166
657,2019-12-10,15.222201820479798,49.327327327707245,-4.597459785984378,813.2879994240999,560.6391145774825,3128.8197340570396
658,2019-12-11,14.577722789252313,46.86524836751976,-4.921792029426246,796.4625481768774,562.957962669982,2962.6068990520707
659,2019-12-12,13.727632955107117,44.33834364488748,-4.946460628896656,800.634259033167,506.6947119723345,2547.5769376388785
660,2019-12-13,8.875844446894956,29.907399318251723,-5.108227558568204,805.466194508276,388.8828790008843,2185.67129376428
661,2019-12-14,-3.8263772248318477,-8.58269128584281,-5.398099229078707,768.8429936348822,36.4989896803117,347.0956855755169
662,2019-12-15,-0.9842912296876702,1.8292825697598019,-5.956766664005433,744.96740852212,152.25132484359455,920.4046654104214
663,2019-12-16,10.19848210805053,35.283768774686955,-5.084882596079141,743.3187470569026,389.0158482876145,2384.4492950243116
664,2019-12-17,11.768652900373763,35.67742081328013,-4.337103660102643,697.7753101533282,438.99829109786475,2468.2095141836567
665,2019-12-18,11.16787306478351,33.18734283652206,-4.373941856886129,674.7070732237243,432.1110036607076,2242.90437620113
666,2019-12-19,10.404536720275098,30.82428551428699,-4.040468910993946,673.3761926869435,368.95131092930245,1780.2381874603166
667,2019-12-20,5.6773244313596285,16.81129557783904,-3.9114117565392426,673.3394212800007,246.73359107078315,1384.3601873359432
668,2019-12-21,-6.868615255392282,-20.94677963497095,-3.979290215893702,632.1667053863815,-106.26966402959852,-479.90337977178496
669,2019-12-22,-3.808968615552254,-9.860210565545326,-4.424563434524291,604.6322445493624,7.919231398581836,91.81030255245138
670,2019-12-23,7.640467009897473,24.331691063025367,-3.133812205117222,600.3614753400788,244.55862130244037,1572.339344859423
671,2019-12-24,9.499141505803307,25.79455716007564,-2.0698848241273247,552.6704619756226,297.9287349859378,1681.3626737569205
672,2019-12-25,9.21482580429371,24.537476435273213,-2.04406583776369,528.5829861941853,296.9789542565856,1493.740080661372
673,2019-12-26,8.79421470111419,23.536501972766025,-1.6316344658090165,527.3834691555983,242.18364025477584,1080.5508636045424
674,2019-12-27,4.426073546177318,11.051846772697264,-1.5394811624906275,528.4596938024476,130.61759546167704,745.9663718344174
675,2019-12-28,-7.754764628267373,-24.974815246845722,-1.7542776632931192,489.00173276820647,-208.46030499721215,-1052.6798080503959
676,2019-12-29,-4.298032753143864,-12.345817318994685,-2.487522427018698,464.28859805510547,-82.09445434683133,-397.2033183752274
677,2019-12-30,7.5653335477809405,23.30224815511304,-1.2018662657888255,464.02476427628545,167.08913658923152,1177.4108977530902
678,2019-12-31,9.825283572304166,26.389967251532525,-0.2576382886323389,420.89742470877496,235.20910198878184,1379.9522682065167
679,2020-01-01,9.93423216307273,26.748231388318118,-0.6056384274982092,402.51880247641805,250.05139697819868,1287.5930733491577
680,2020-01-02,9.896489888570645,27.31230182555619,-0.5398771968570232,408.1321928352958,211.80657578828823,969.7508011387794
681,2020-01-03,5.891017094824097,16.377688992483908,-0.8880513280055136,416.89558517175004,117.29151685092195,729.8965380588907
682,2020-01-04,-5.956778581337776,-18.07472375703903,-1.620084443549574,385.5614012889809,-203.32265056293704,-982.5225649086705
683,2020-01-05,-2.1690415825472202,-4.23278408980914,-2.9683994681665475,369.8591056974375,-62.131762288011686,-235.56077839898072
684,2020-01-06,10.010480765882132,32.3801522184255,-1.962694912919653,379.521536199621,200.36859497959514,1428.2431236767225
685,2020-01-07,12.545184377812902,36.453809935547035,-1.3531279024061573,346.56020065484637,282.1926302266431,1707.374424447438
686,2020-01-08,12.895609731879162,37.65833619832741,-2.223968275452851,339.13290419570933,310.05962362880484,1682.1975109290108
687,2020-01-09,13.06760039214661,38.90843706980071,-2.583710600870414,356.40293992221666,284.00888736455425,1421.6121500356219
688,2020-01-10,9.234555183931192,28.557382973261944,-3.3785466859979705,377.2635867403311,200.7631485972457,1229.760911879056
689,2020-01-11,-2.4830903631869905,-5.350659893322252,-4.561356949518146,357.9985976629042,-108.40452663348424,-450.2388207546543
690,2020-01-12,1.4246504111136917,8.63597515446001,-6.38722931960408,354.7606887274662,39.56834487996114,329.0142460316093
691,2020-01-13,13.705729224540097,45.13247549422539,-5.45664420568655,377.28758733625875,306.5402495502054,2019.208560945027
692,2020-01-14,16.30134889903985,49.122607935452464,-4.915212148934759,356.8952850854741,392.6521336315617,2310.3407199501567
693,2020-01-15,16.684272678834976,50.139610289800316,-5.98802944027276,362.27091186990515,423.7889026045997,2287.7643520000397
694,2020-01-16,16.865607353721774,51.099769063456435,-6.406949453187352,392.4850295476256,400.0658640838458,2021.588841685231
695,2020-01-17,13.016461648160139,40.43397201605946,-7.246792598842403,426.1569894546559,318.32791185746123,1818.2370418410976
696,2020-01-18,1.255034034551783,6.266736391200989,-8.454490354838699,419.09618658166573,11.150089551244905,115.94220747159044
697,2020-01-19,5.125579873699493,19.703093868357723,-10.319523104290528,427.8764748995665,156.93224346367336,878.8044506992517
698,2020-01-20,17.36924713239807,55.507074043730775,-9.025166806848368,462.24201026485173,420.0410161400103,2553.7475776916085
699,2020-01-21,19.90587871443712,58.963002917364186,-8.124429540665657,452.8185596476033,502.8700979927733,2823.0271875926096
700,2020-01-22,20.22062604115009,59.46982390606104,-8.994755158673293,468.83173816666323,530.5657522245018,2777.4561690484416
701,2020-01-23,20.329373005834547,59.94410961696913,-9.10211365898472,509.2725277192795,503.3834981691302,2488.537190420643
702,2020-01-24,16.39983624235127,48.8892677059068,-9.659632056624531,552.5036108860143,418.3228229273882,2264.870770988323
703,2020-01-25,4.54631333586503,14.501482064205868,-10.616608105271169,553.8814902226942,109.26206280982868,539.4258991175025
704,2020-01-26,8.345173459344776,27.527197695899243,-12.30362645325563,570.4268991679396,249.91021609022198,1292.3609808207752
705,2020-01-27,20.528200326638775,62.86448129944544,-10.491676174907404,611.9204662015646,507.08676713927906,2964.9592256208493
706,2020-01-28,22.991008391576052,66.08105534652039,-9.14415103204607,608.3320530039913,585.3589007391632,3230.655838636877
707,2020-01-29,23.228067532118466,66.4226118968342,-9.791825791844714,629.4642624262762,609.0348518719911,3184.4781525863673
708,2020-01-30,23.25688076807323,66.78587285116461,-9.633752295338995,674.271016984114,578.3951307698017,2897.9547788613463
709,2020-01-31,19.23864207547384,55.726096573906084,-10.018360225510094,720.9046246067943,490.46742325365466,2680.420488429519
710,2020-02-01,7.280759937747654,21.490593602095622,-10.89245013278971,724.318435306555,180.3006605914589,958.1091089727141
711,2020-02-02,10.988982241260386,34.447467708534994,-12.62115454430456,742.0328358407497,316.77891848886765,1725.788229949654
712,2020-02-03,23.08334968479313,69.61048523723821,-10.55514460874771,783.9202413217747,569.04390084087,3417.7215743956626
713,2020-02-04,25.433318361975797,72.81443319707472,-9.058956907827795,779.3518916978212,643.7137012040968,3697.2614274698444
714,2020-02-05,25.541274475310402,73.13795364122208,-9.806541398363262,798.7659913883064,664.1481796299497,3662.5458538624525
715,2020-02-06,25.425528647548614,73.44710380119587,-9.719288692681626,841.1386506599666,630.558425500047,3384.2219773537954
716,2020-02-07,21.240575949537526,62.34152497064809,-10.269942379480787,884.4709419851071,539.9249298382589,3171.679015029143
717,2020-02-08,9.08741974153936,28.115793364861744,-11.391918249448945,883.371324170738,228.41322761720295,1443.9877133634157
718,2020-02-09,12.602335058523563,40.759569051847045,-13.474451448009816,895.9164394047152,360.0515037842013,2210.3652360107253
719,2020-02-10,24.495415580462524,75.40601184612872,-11.438216684042258,932.1246578111524,606.2965544245837,3898.172596488022
720,2020-02-11,26.612364773103,78.16438569328267,-10.040279128811344,920.8195834487541,675.8340953524939,4161.071776460309
721,2020-02-12,26.466442686405415,77.9572220717237,-11.090475225884816,933.1221212262429,691.1153585764423,4100.970846170227
722,2020-02-13,26.08020019095011,77.63407966297723,-11.22678794683399,968.0731391701743,652.3432131143477,3788.5437967439875
723,2020-02-14,21.60524778480818,65.85597455299047,-12.042236219300204,1003.5599523985685,556.5313153841939,3534.366251181655
724,2020-02-15,9.14027198914061,30.984075859039116,-13.454629644888719,993.8780453810131,241.05839552896308,1751.6687905043439
725,2020-02-16,12.356318094583846,42.65069651552237,-15.87695150901379,997.6863078886335,365.20610574047066,2465.593146570945
726,2020-02-17,23.957803445796173,76.13063015386439,-13.801381612387827,1025.1688841380374,602.8645715399998,4098.180720536151
727,2020-02-18,25.77084532936243,77.83033452891533,-12.380800265251947,1004.61526106668,664.9100633528183,4295.046604970931
728,2020-02-19,25.323507214414516,76.53873420065854,-13.565873580123712,1007.8362588735811,673.0084653949409,4163.5224149458145
729,2020-02-20,24.646143252373054,75.11048744616556,-13.7175954491273,1033.9385329236318,627.4736819088942,3775.921555613322
730,2020-02-21,19.890552965434864,62.28800306335443,-14.556926197279349,1060.690721632413,525.4635052587212,3445.5270828132175
731,2020-02-22,7.155577711267823,26.516843369472333,-15.99471603196509,1042.0648123049439,205.66853122826294,1581.1104872977892
732,2020-02-23,10.148804127596584,37.08697555126229,-18.47702727446364,1037.2862588852865,322.70660478125967,2224.9343065926378
733,2020-02-24,21.569961964211526,69.42652163480072,-16.077243263456094,1056.684661383923,552.9647996085301,3794.691743285734
734,2020-02-25,23.225726493238948,70.2471017364035,-14.353799565896333,1027.9910277829974,609.5518713332895,3928.663722419421
735,2020-02-26,22.658223652750312,68.2079583318535,-15.40764940934888,1023.6783261560022,613.3666773645674,3740.0327273798093
736,2020-02-27,21.903967527479026,66.16852426007283,-15.331660354048067,1042.8884903987248,564.827665961738,3302.8748013233976
737,2020-02-28,17.11240784528651,52.947938420931465,-15.982712800701867,1063.2389014844184,461.20501526435197,2932.9894738029116
738,2020-02-29,4.379137943886173,17.067190445749112,-17.271535013101314,1038.3440507385712,142.44450059907945,1034.182903756211
739,2020-03-01,7.444074481319103,27.460789041004286,-19.682748078114773,1027.9611576104735,258.41962121720894,1665.0249033291948
740,2020-03-02,18.997318478859473,59.6932002597924,-16.87489212270492,1042.5302434596065,487.91182004780427,3237.7565867192934
741,2020-03-03,20.820532328305706,60.76073784146571,-14.814269164886666,1009.1890607154032,546.1402050204726,3381.955918149188
742,2020-03-04,20.463823032764562,59.16949844714624,-15.752729934694461,1001.0386162286947,553.0980070824538,3215.055871427153
743,2020-03-05,19.963408138770887,57.757809369225804,-15.513925031170308,1017.2229962987903,509.1567484805973,2811.1034570516517
744,2020-03-06,15.459704465528324,45.393895509809006,-16.08792134431423,1035.1763960721808,411.53865196294623,2486.477884506187
745,2020-03-07,3.0383052364761136,10.645474259778373,-17.3810627282365,1008.125191809856,101.27974424203757,637.9888424480132
746,2020-03-08,6.464798943030711,22.06258623098067,-19.910903626339465,996.3290686155023,223.34410683598537,1338.4419148478046
747,2020-03-09,18.413257505225786,55.3174836606971,-16.914364470069145,1010.3104026316508,458.7468079528931,2992.5699376999605
748,2020-03-10,20.634348518929198,57.66382513053842,-14.757936470405516,976.5866853341834,524.665262189565,3219.2628519031427
749,2020-03-11,20.68074972197362,57.4291535638177,-15.83606974120191,968.8607732401524,540.0478683064065,3138.344566810355
750,2020-03-12,20.583684895007927,57.40790961966315,-15.694578624796275,986.2532312819934,505.0966500364258,2822.1504230108058
751,2020-03-13,16.470679891629754,46.49787097485806,-16.44808494957658,1005.9895727304868,416.8832715537566,2586.1805711737607
752,2020-03-14,4.4144160854067005,13.297736080482007,-17.990211646979972,980.8823876175768,117.45416103268616,819.0546026215934
753,2020-03-15,8.20427361437364,25.961558425829903,-20.86369988043176,971.6676351267505,246.8090390691439,1606.9196227583557
754,2020-03-16,20.497507506209384,60.262416179856665,-17.87696559331249,988.9230196829725,488.1680262727824,3346.4316440984353
755,2020-03-17,23.014129791804695,63.70912285568187,-15.790905691990064,958.517649503331,560.6653760671815,3645.5673682307506
756,2020-03-18,23.310862435762758,64.45333388936287,-17.138085867322015,954.7268270208876,582.230280674547,3626.6681483833386
757,2020-03-19,23.416522596663377,65.25308304483525,-17.183450299899725,976.616819694966,552.9472310440142,3360.83478668819
758,2020-03-20,19.449397766934883,55.04782364081854,-18.1646883123383,1001.1723308393321,469.81416937394323,3163.505531345435
759,2020-03-21,7.473900749561483,22.483707477252572,-19.962800235351068,980.7588287751938,175.98749443365367,1416.2472275450095
760,2020-03-22,11.308737593513609,35.33921332949637,-23.147378492132223,976.5542812541906,306.6221259810636,2219.9775108579584
761,2020-03-23,23.60064943773432,69.5120838806008,-20.10148736877698,999.1569393964503,547.2795260948831,3964.959760546978
762,2020-03-24,26.045922642888446,72.79294759707446,-17.98493683400871,973.7527796528599,619.2001201460415,4250.153387685452
763,2020-03-25,26.212722213293585,73.18637472818602,-19.47408503249725,975.1555125377536,639.4522719578551,4202.47571330198
764,2020-03-26,26.135156235286043,73.44420155645321,-19.559622495201396,1002.3445747402344,608.1661667904485,3893.960504140686
765,2020-03-27,21.93009198890952,62.578402363397245,-20.609595549244762,1032.033723576337,522.4298295590193,3642.204050943255
766,2020-03-28,9.661430836767998,29.313277229047785,-22.500050517763775,1016.1145361170231,226.66978802931797,1823.9349144375192
767,2020-03-29,13.184720336175436,41.081494715590274,-25.83516813454524,1016.1846046787648,351.34861694368936,2556.9925164217257
768,2020-03-30,25.143286963582234,73.93354346497081,-22.580150498222967,1042.8457669857544,584.5100984472513,4227.279718616725
769,2020-03-31,27.21620953681087,75.967560438801,-20.300652716133598,1020.5903559085184,649.6269427254733,4426.599002335262
