day,emails_received
2016/04/04,375941.0
2016/04/05,442431.0
2016/04/06,422572.0
2016/04/07,372763.0
2016/04/08,284772.0
2016/04/09,135307.0
2016/04/10,225343.0
2016/04/11,430263.0
2016/04/12,404702.0
2016/04/13,463856.0
2016/04/14,362531.0
2016/04/15,332707.0
2016/04/16,135678.0
2016/04/17,162472.0
2016/04/18,423266.0
2016/04/19,402742.0
2016/04/20,372031.0
2016/04/21,373860.0
2016/04/22,296223.0
2016/04/23,145559.0
2016/04/24,175302.0
2016/04/25,378159.0
2016/04/26,379868.0
2016/04/27,383391.0
2016/04/28,345914.0
2016/04/29,306762.0
2016/04/30,150501.0
2016/05/01,146346.0
2016/05/02,341763.0
2016/05/03,351864.0
2016/05/04,328711.0
2016/05/05,336027.0
2016/05/06,250383.0
2016/05/07,113894.0
2016/05/08,110450.0
2016/05/09,263155.0
2016/05/10,253926.0
2016/05/11,264309.0
2016/05/12,252419.0
2016/05/13,206359.0
2016/05/14,101140.0
2016/05/15,110922.0
2016/05/16,277026.0
2016/05/17,274696.0
2016/05/18,298311.0
2016/05/19,255056.0
2016/05/20,211877.0
2016/05/21,106719.0
2016/05/22,125253.0
2016/05/23,268819.0
2016/05/24,257889.0
2016/05/25,270820.0
2016/05/26,263723.0
2016/05/27,217609.0
2016/05/28,106102.0
2016/05/29,120304.0
2016/05/30,142284.0
2016/05/31,270595.0
2016/06/01,286978.0
2016/06/02,279716.0
2016/06/03,197491.0
2016/06/04,109105.0
2016/06/05,111396.0
2016/06/06,232061.0
2016/06/07,259774.0
2016/06/08,250359.0
2016/06/09,244968.0
2016/06/10,192414.0
2016/06/11,106513.0
2016/06/12,148288.0
2016/06/13,265871.0
2016/06/14,249373.0
2016/06/15,266918.0
2016/06/16,245937.0
2016/06/17,202367.0
2016/06/18,107897.0
2016/06/19,125868.0
2016/06/20,213666.0
2016/06/21,279363.0
2016/06/22,262768.0
2016/06/23,245150.0
2016/06/24,208157.0
2016/06/25,116342.0
2016/06/26,128021.0
2016/06/27,246256.0
2016/06/28,258256.0
2016/06/29,237019.0
2016/06/30,233244.0
2016/07/01,205018.0
2016/07/02,111300.0
2016/07/03,115077.0
2016/07/04,134332.0
2016/07/05,239302.0
2016/07/07,233747.0
2016/07/08,197198.0
2016/07/09,104438.0
2016/07/10,106324.0
2016/07/11,238296.0
2016/07/12,260657.0
2016/07/13,230835.0
2016/07/14,221758.0
2016/07/15,223293.0
2016/07/16,101613.0
2016/07/17,122802.0
2016/07/18,226801.0
2016/07/19,244857.0
2016/07/20,243445.0
2016/07/21,245848.0
2016/07/22,201712.0
2016/07/23,104330.0
2016/07/24,102781.0
2016/07/25,234180.0
2016/07/26,241306.0
2016/07/27,243687.0
2016/07/28,222347.0
2016/07/29,223808.0
2016/07/30,105117.0
2016/07/31,112847.0
2016/08/01,235104.0
2016/08/02,248578.0
2016/08/03,227564.0
2016/08/04,238502.0
2016/08/05,188131.0
2016/08/06,105730.0
2016/08/07,98720.0
2016/08/08,244076.0
2016/08/09,241248.0
2016/08/10,250776.0
2016/08/11,244869.0
2016/08/12,221766.0
2016/08/13,103311.0
2016/08/14,125557.0
2016/08/15,271354.0
2016/08/16,300588.0
2016/08/17,272970.0
2016/08/18,320205.0
2016/08/19,284111.0
2016/08/20,125693.0
2016/08/21,155382.0
2016/08/22,375531.0
2016/08/23,425586.0
2016/08/24,422931.0
2016/08/25,334691.0
2016/08/26,318171.0
2016/08/27,138837.0
2016/08/28,182655.0
2016/08/29,437711.0
2016/08/30,369890.0
2016/08/31,414537.0
2016/09/01,332341.0
2016/09/02,370343.0
2016/09/03,143507.0
2016/09/04,131769.0
2016/09/05,187385.0
2016/09/06,409638.0
2016/09/07,504189.0
2016/09/08,433998.0
2016/09/09,320297.0
2016/09/10,139966.0
2016/09/11,161237.0
2016/09/12,380672.0
2016/09/13,396580.0
2016/09/14,504200.0
2016/09/15,488883.0
2016/09/16,318224.0
2016/09/17,149087.0
2016/09/18,171693.0
2016/09/19,476529.0
2016/09/20,388662.0
2016/09/21,408876.0
2016/09/22,382681.0
2016/09/23,382994.0
2016/09/24,143687.0
2016/09/25,178594.0
2016/09/26,446557.0
2016/09/27,461081.0
2016/09/28,451030.0
2016/09/29,422546.0
2016/09/30,349506.0
2016/10/01,143172.0
2016/10/02,164342.0
2016/10/03,424852.0
2016/10/04,401759.0
2016/10/05,393664.0
2016/10/06,373196.0
2016/10/07,300411.0
2016/10/08,144923.0
2016/10/09,190587.0
2016/10/10,449808.0
2016/10/11,417023.0
2016/10/12,420137.0
2016/10/13,407324.0
2016/10/14,328024.0
2016/10/15,132360.0
2016/10/16,133682.0
2016/10/17,295043.0
2016/10/18,341149.0
2016/10/19,461222.0
2016/10/21,273514.0
2016/10/22,137789.0
2016/10/23,169767.0
2016/10/24,420442.0
2016/10/25,431736.0
2016/10/26,412345.0
2016/10/27,398629.0
2016/10/28,284630.0
2016/10/29,170979.0
2016/10/30,170490.0
2016/10/31,377711.0
2016/11/01,451839.0
2016/11/02,401878.0
2016/11/03,414422.0
2016/11/04,322565.0
2016/11/05,162209.0
2016/11/06,182088.0
2016/11/07,421994.0
2016/11/08,432769.0
2016/11/09,386177.0
2016/11/10,414844.0
2016/11/11,311226.0
2016/11/12,158481.0
2016/11/13,185361.0
2016/11/14,432582.0
2016/11/15,422011.0
2016/11/16,441100.0
2016/11/17,381701.0
2016/11/18,292201.0
2016/11/19,162188.0
2016/11/20,182685.0
2016/11/21,399317.0
2016/11/22,418243.0
2016/11/23,317822.0
2016/11/24,175593.0
2016/11/25,279525.0
2016/11/26,154242.0
2016/11/27,210546.0
2016/11/28,648105.0
2016/11/29,461995.0
2016/11/30,447629.0
2016/12/01,422346.0
2016/12/02,367798.0
2016/12/03,168076.0
2016/12/04,200566.0
2016/12/05,423578.0
2016/12/06,406128.0
2016/12/07,416328.0
2016/12/08,348780.0
2016/12/09,311345.0
2016/12/10,160857.0
2016/12/11,176265.0
2016/12/12,0.0
2016/12/13,331123.0
2016/12/14,0.0
2016/12/15,0.0
2016/12/16,290384.0
2016/12/17,122757.0
2016/12/18,0.0
2016/12/19,0.0
2016/12/20,238354.0
2016/12/21,238680.0
2016/12/22,218509.0
2016/12/23,172477.0
2016/12/24,92816.0
2016/12/25,74919.0
2016/12/26,126795.0
2016/12/27,147312.0
2016/12/28,149796.0
2016/12/29,273514.0
2016/12/30,135073.0
2016/12/31,104361.0
2017/01/01,104366.0
2017/01/02,132002.0
2017/01/03,215032.0
2017/01/04,216212.0
2017/01/05,223101.0
2017/01/06,248681.0
2017/01/07,109809.0
2017/01/08,129407.0
2017/01/09,234138.0
2017/01/10,305606.0
2017/01/11,273725.0
2017/01/12,288100.0
2017/01/13,258810.0
2017/01/14,122511.0
2017/01/15,118187.0
2017/01/16,207546.0
2017/01/17,406260.0
2017/01/18,428706.0
2017/01/19,364026.0
2017/01/20,342235.0
2017/01/21,147751.0
2017/01/22,159340.0
2017/01/23,454161.0
2017/01/24,386143.0
2017/01/25,380429.0
2017/01/26,369870.0
2017/01/27,367723.0
2017/01/28,159554.0
2017/01/29,162264.0
2017/01/30,384521.0
2017/01/31,395650.0
2017/02/01,355899.0
